IDCar,Brand,Model,Year,InitialMileage
783,Pontiac,Sunfire,2003,3321
784,Saturn,Outlook,2009,02
785,Ford,Expedition,1999,90
786,Lincoln,Navigator,2011,87
787,Volkswagen,Touareg,2004,3726
788,Lexus,RX,2007,156
789,GMC,Savana 1500,1999,6514
790,Subaru,Tribeca,2011,6
791,Volkswagen,Jetta,2009,3859
792,Suzuki,Daewoo Magnus,2004,35046
793,Cadillac,CTS-V,2012,5077
794,Pontiac,Firebird,2002,6
795,Pontiac,Grand Am,2004,08
796,Audi,A5,2012,5
797,Toyota,MR2,1995,44
798,GMC,Savana 2500,2003,6965
799,Mitsubishi,Pajero,1984,686
800,Mercedes-Benz,G-Class,2009,18102
801,Toyota,Celica,1982,976
802,Ford,E-Series,1986,11
803,Mercury,Monterey,2007,3
804,Toyota,Prius,2005,637
805,Ford,Courier,1986,871
806,Pontiac,Grand Prix,1997,01
807,Porsche,Cayman,2006,11
808,Chevrolet,HHR,2009,09
809,Mazda,B2600,1989,336
810,Ford,Tempo,1993,2635
811,Jaguar,XJ,2010,3895
812,Mitsubishi,Lancer,2003,6442
813,Mazda,MPV,1995,338
814,Dodge,Caravan,1995,919
815,BMW,5 Series,2006,665
816,Dodge,Charger,1968,64872
817,Mitsubishi,Starion,1987,261
818,Ford,Probe,1997,67671
819,Mazda,RX-7,1991,4223
820,Ford,Edge,2009,3597
821,Lincoln,MKX,2009,7
822,Buick,Park Avenue,1995,09
823,Dodge,Ram Van 1500,1997,76
824,Audi,90,1988,1348
825,Buick,Coachbuilder,1992,52325
826,Nissan,Titan,2005,28
827,Maserati,430,1990,385
828,Ford,F350,2008,66
829,Nissan,Xterra,2006,68
830,Jeep,Commander,2010,3149
831,Ford,Five Hundred,2006,266
832,Chrysler,LHS,2001,44
833,Chevrolet,Suburban 2500,1992,213
834,Honda,Odyssey,1998,46
835,Bentley,Brooklands,2009,02
836,Mitsubishi,Montero,2001,702
837,Mitsubishi,Montero,2002,8
838,Subaru,Loyale,1991,3923
839,Nissan,Altima,2005,5111
840,Maybach,62,2003,16
841,Mazda,RX-7,1984,96570
842,Jeep,Compass,2011,45624
843,Toyota,Tacoma,2008,8
844,Volvo,C70,2006,7939
845,Nissan,Pathfinder,2004,3760
846,Pontiac,GTO,1968,0335
847,Acura,NSX,1993,4
848,Honda,Ridgeline,2011,4389
849,Mazda,626,2001,2028
850,Ford,Bronco II,1986,4087
851,Pontiac,Grand Am,1996,9
852,Mitsubishi,Eclipse,2006,3
853,BMW,3 Series,2012,4662
854,Audi,A8,1999,468
855,Chrysler,Sebring,1997,1739
856,Nissan,Altima,2012,38061
857,Saab,9-7X,2005,12
858,Toyota,Supra,1998,60
859,Ford,E-Series,1991,311
860,Volvo,S40,2005,5
861,Aston Martin,V8 Vantage,2012,6
862,Pontiac,Firebird Formula,1992,82186
863,Buick,Rendezvous,2003,384
864,Ford,Mustang,1968,8
865,GMC,3500 Club Coupe,1995,4
866,Jeep,Patriot,2007,85
867,Suzuki,Swift,1990,3704
868,Kia,Borrego,2009,84584
869,Volvo,S80,2006,83676
870,Isuzu,Hombre Space,1997,92
871,Volkswagen,Passat,1994,09
872,Mercury,Cougar,1990,82463
873,Bentley,Continental GT,2008,86
874,Lincoln,Continental Mark VII,1986,4664
875,GMC,Safari,1993,7948
876,Maserati,Quattroporte,2008,3
877,Infiniti,QX,2004,0
878,Oldsmobile,Cutlass Supreme,1992,01
879,Pontiac,Firefly,1984,4416
880,GMC,Sonoma Club Coupe,1998,26980
881,GMC,3500,1996,16
882,Honda,CR-V,2000,99
883,Mazda,RX-7,1985,43668
884,Toyota,Celica,1994,5
885,Nissan,Altima,2002,4578
886,Mitsubishi,Montero Sport,1998,0552
887,Saab,900,1986,000
888,Dodge,Dakota Club,2007,5
889,Ford,Ranger,1996,2
890,BMW,745,2005,2
891,Pontiac,Bonneville,1987,922
892,Jaguar,X-Type,2005,448
893,Cadillac,Seville,2004,48179
894,Mazda,Miata MX-5,1997,9513
895,Mazda,MPV,1996,9
896,Dodge,Ram 3500,2003,7801
897,Pontiac,Bonneville,2001,279
898,Suzuki,Equator,2011,17
899,Bentley,Continental,2006,05499
900,Dodge,Ram 2500,2000,9050
901,Ford,Expedition EL,2011,44
902,Dodge,Ram 2500 Club,1998,8324
903,Hyundai,XG300,2001,67
904,GMC,Savana 3500,2005,509
905,GMC,Yukon XL 1500,2011,74
906,Isuzu,Ascender,2004,86
907,Toyota,Land Cruiser,2007,8
908,Saab,900,1984,3850
909,Mazda,MPV,1990,1835
910,Chrysler,Town & Country,1999,46
911,Chevrolet,Silverado 1500,1999,13
912,Maybach,62,2010,08867
913,Isuzu,Rodeo,2004,063
914,Infiniti,J,1996,0
915,Toyota,Tundra,2009,2534
916,Land Rover,Range Rover,1990,09
917,Dodge,Dakota,2001,939
918,Mercedes-Benz,S-Class,1986,29
919,GMC,Sonoma,1999,14174
920,Lamborghini,Diablo,1993,32242
921,Chevrolet,Silverado 3500,2002,02
922,Audi,TT,2001,2
923,Chevrolet,Suburban 2500,2000,71
924,Mitsubishi,Diamante,1992,937
925,Volkswagen,Phaeton,2006,3231
926,Pontiac,Firebird,2002,65
927,Chevrolet,Suburban 1500,2010,20
928,Mercury,Sable,1987,214
929,Chevrolet,1500,1992,58409
930,Subaru,Outback,2000,089
931,BMW,6 Series,2009,52252
932,Chevrolet,Silverado 1500,2007,3199
933,Volvo,S80,2003,629
934,Audi,Q5,2012,44271
935,Buick,Rainier,2007,6
936,Mercedes-Benz,400E,1992,3075
937,Audi,S8,2007,1
938,Chevrolet,Camaro,1973,1
939,Dodge,Ram Van B150,1994,30
940,Dodge,Dakota,2000,14184
941,Mercury,Marquis,1985,5253
942,Infiniti,QX,2009,90
943,Ford,Ranger,1998,2828
944,BMW,5 Series,2000,8
945,Dodge,Neon,2003,69439
946,Mercury,Sable,1993,9
947,Dodge,Dakota,2009,66817
948,Toyota,Echo,2005,9926
949,Ford,Econoline E350,1997,5
950,Hyundai,Excel,1994,22
951,Lotus,Elan,1991,8
952,Mazda,Tribute,2008,83300
953,Hyundai,Santa Fe,2009,467
954,Volkswagen,Fox,1990,4
955,Chevrolet,Aveo,2008,76361
956,Dodge,Avenger,2009,33397
957,Saab,9-2X,2006,01144
958,Honda,Prelude,1998,54
959,Dodge,Intrepid,1994,6628
960,GMC,Savana 1500,2004,89
961,Volkswagen,New Beetle,2001,0
962,Ford,E350,2011,75
963,Infiniti,G,2001,246
964,Hyundai,Santa Fe,2001,51514
965,Ford,Escort,1987,6455
966,Mercedes-Benz,S-Class,2006,6
967,Chevrolet,Silverado 2500,2000,033
968,Ford,Thunderbird,1984,84
969,GMC,Savana 3500,2006,425
970,Toyota,Paseo,1993,371
971,Chrysler,Fifth Ave,1992,6
972,GMC,Sierra 3500,2003,6
973,Lincoln,Town Car,1998,7
974,GMC,Yukon,2005,82
975,Dodge,Ram 1500,2001,35
976,Chevrolet,Equinox,2007,80143
977,Lexus,RX Hybrid,2012,1
978,Honda,Passport,1998,62
979,Toyota,Celica,2005,5912
980,Mercedes-Benz,500E,1992,86140
981,Ford,Contour,1999,02888
982,Suzuki,Equator,2011,7
983,Ford,Bronco,1984,4675
984,Dodge,Stratus,1995,7180
985,Mazda,929,1991,4
986,Volvo,V70,2001,801
987,Chevrolet,3500,1992,76
988,Toyota,4Runner,2008,546
989,Audi,RS6,2003,5619
990,Isuzu,Amigo,1993,0423
991,Mazda,B-Series Plus,1994,8
992,Hyundai,Elantra,2007,7361
993,Chevrolet,Monte Carlo,2003,899
994,Volvo,XC90,2011,21
995,Ford,Excursion,2002,41336
996,Jaguar,XK Series,1997,49347
997,Cadillac,Catera,1999,17
998,Mercedes-Benz,M-Class,2012,25
999,Toyota,TundraMax,2007,95
1000,Ford,Bronco,1995,18387
1001,Oldsmobile,98,1995,7260
1002,Chrysler,Aspen,2007,810
1003,Jeep,Patriot,2011,3230
