IDRoute,TimeHours,CityA,CityB,Kilometers,AvgSpeed,FuelUsed
924,32,17,5,112,0,48
925,16,14,16,332,27,11955
926,32,9,7,3,0,542
927,16,7,6,06592,9,7
928,4,6,15,89,93,443
929,32,9,11,44861,38,263
930,4,7,24,0,0,361
931,32,9,14,09780,95442,8259
932,4,15,9,6,5,3
933,32,17,5,5,057,58828
934,16,18,6,9436,69,4
935,4,10,12,1907,515,0
936,4,10,24,60742,98,2
937,16,8,22,955,1291,7
938,32,12,6,5067,8181,373
939,4,12,5,1769,288,9
940,4,10,15,17,14791,7639
941,4,5,20,96287,800,6254
942,16,22,7,2,9126,60
943,32,19,5,13,5,0
944,32,6,12,04254,9,26
945,16,13,17,2336,98,81735
946,16,17,7,27,0316,5574
947,32,14,22,80534,82955,434
948,32,11,17,71394,6,06
949,32,16,11,8316,66,2818
950,4,17,19,8459,84617,1608
951,32,20,11,64,842,71102
952,16,14,9,6371,6,0718
953,16,15,7,23,04,13
954,16,13,11,64571,87,9810
955,4,10,8,7,67,88
956,16,21,15,86561,559,40113
957,4,22,14,7,2,1338
958,32,14,21,954,6,99
959,32,5,13,53,05,446
960,4,8,22,8,5237,5
961,32,5,19,4,8,4368
962,4,12,18,89346,09,87
963,4,5,23,458,9403,52
964,32,13,22,7464,92,363
965,4,16,13,753,28301,8
966,32,16,11,95,38,1
967,32,10,14,70,4,051
968,16,21,19,90521,1212,037
969,32,12,17,0482,437,3
970,32,5,24,9,88882,58
971,4,14,16,0,0,85
972,16,16,18,10,36973,9
973,4,20,17,4,17378,07
974,4,21,14,8589,669,14541
975,16,21,8,934,438,0
976,4,10,22,0,7813,281
977,16,22,24,6666,388,1
978,16,10,6,0,90726,9
979,16,17,11,9,14754,38
980,4,15,23,4,88534,522
981,32,11,14,0,9,33378
982,16,24,19,93137,20753,393
983,4,22,22,56500,95,094
984,32,12,24,929,136,378
985,4,8,11,6553,4,4054
986,4,11,12,55463,2,83
987,16,19,22,7438,12,2662
988,32,5,18,7210,9697,01
989,32,22,8,0,320,37
990,4,16,7,11,6,62683
991,4,8,14,76,59499,77358
992,16,22,17,68546,5,1929
993,4,23,15,4972,39,72
994,32,5,17,989,8610,8565
995,4,12,24,99293,0463,06
996,32,19,13,3148,90728,15905
997,16,7,20,9117,68,66
998,16,7,9,1,24,9
999,16,7,22,3,0859,51780
1000,32,5,11,23,8,0
1001,16,15,8,124,6,844
1002,4,9,19,0,636,050
1003,32,12,5,680,906,79
